node;lat;lon
Roma;41.8937554;12.4818513
Firenze;43.7682164;11.2547283
Milano;45.466797;9.1905368
Torino;45.0709201;7.685972
Trento;46.0664228;11.1257601
Venezia;45.4384143;12.318564
Trieste;45.6300555;13.7879014
Genova;44.40726;8.9338624
Palermo;38.111051;13.335745
Catanzaro;38.9076353;16.5960465
Potenza;40.644317;15.808567
Campobasso;41.560027;14.66753
Perugia;43.1119613;12.3890104
Bari;41.1256631;16.8619381
Ancona;43.6170137;13.5170982
L'Aquila;42.350164;13.391926
Cagliari;39.2225376;9.1169358
Aosta;45.7343472;7.3088547
Napoli;40.8506962;14.2463172
Bologna;44.4936714;11.3430347
